ID,Odds,Bet,Result,Profit
1,8,"$1,000.00",Lose,$0.00
2,4.5,"$1,000.00",Lose,$0.00
3,7,"$1,000.00",Lose,$0.00
4,5,"$1,000.00",Lose,$0.00
5,4.33,"$1,000.00",Win,"$3,330.00"
6,6,"$1,000.00",Lose,$0.00
7,6,"$1,000.00",Lose,$0.00
8,6,"$1,000.00",Lose,$0.00
9,5.5,"$1,000.00",Lose,$0.00
10,2,"$1,000.00",Lose,$0.00
11,10,"$1,000.00",Lose,$0.00
12,8,"$1,000.00",Lose,$0.00
13,6,"$1,000.00",Lose,$0.00
14,6,"$1,000.00",Lose,$0.00
15,3.25,"$1,000.00",Win,"$2,250.00"
16,2.75,"$1,000.00",Lose,$0.00
17,3.5,"$1,000.00",Lose,$0.00
18,3.25,"$1,000.00",Lose,$0.00
19,3.25,"$1,000.00",Lose,$0.00
20,11,"$1,000.00",Lose,$0.00
21,1.8,"$1,000.00",Lose,$0.00
22,4,"$1,000.00",Lose,$0.00
23,7.5,"$1,000.00",Lose,$0.00
24,4.5,"$1,000.00",Win,"$3,500.00"
25,3.25,"$1,000.00",Lose,$0.00
26,8,"$1,000.00",Lose,$0.00
27,2.5,"$1,000.00",Lose,$0.00
28,11,"$1,000.00",Win,"$10,000.00"
29,11,"$1,000.00",Win,"$10,000.00"
30,3.25,"$1,000.00",Lose,$0.00
31,5,"$1,000.00",Lose,$0.00
32,4.33,"$1,000.00",Win,"$3,330.00"
33,21.1,"$1,000.00",Lose,$0.00
34,9,"$1,000.00",Win,"$8,000.00"
35,8,"$1,000.00",Lose,$0.00
36,4,"$1,000.00",Lose,$0.00
37,11,"$1,000.00",Win,"$10,000.00"
38,4.5,"$1,000.00",Win,"$3,500.00"
39,9,"$1,000.00",Win,"$8,000.00"
40,8,"$1,000.00",Lose,$0.00
41,9,"$1,000.00",Lose,$0.00
42,8,"$1,000.00",Lose,$0.00
43,2.25,"$1,000.00",Lose,$0.00
44,6,"$1,000.00",Win,"$5,000.00"
45,4,"$1,000.00",Lose,$0.00
46,11,"$1,000.00",Lose,$0.00
47,3.25,"$1,000.00",Win,"$2,250.00"
48,3.5,"$1,000.00",Lose,$0.00
49,3,"$1,000.00",Lose,$0.00
50,7,"$1,000.00",Lose,$0.00
51,9,"$1,000.00",Win,"$8,000.00"
52,4,"$1,000.00",Win,"$3,000.00"
53,3,"$1,000.00",Win,"$2,000.00"
54,5,"$1,000.00",Lose,$0.00
55,3.75,"$1,000.00",Lose,$0.00
56,7,"$1,000.00",Lose,$0.00
57,3.75,"$1,000.00",Win,"$2,750.00"
58,2.5,"$1,000.00",Lose,$0.00
59,2.1,"$1,000.00",Win,"$1,100.00"
60,6,"$1,000.00",Lose,$0.00
61,20,"$1,000.00",Lose,$0.00
62,5.5,"$1,000.00",Lose,$0.00
63,5.5,"$1,000.00",Lose,$0.00
