Odds,Bet,Profit
8,1000,-1000
4.5,1000,-1000
7,1000,-1000
5,1000,-1000
4.33,1000,3330
6,1000,-1000
6,1000,-1000
6,1000,-1000
5.5,1000,-1000
2,1000,-1000
8,1000,-1000
6,1000,-1000
6,1000,-1000
3.25,1000,2250
2.75,1000,-1000
3.5,1000,-1000
3.25,1000,-1000
3.25,1000,-1000
1.8,1000,-1000
4,1000,-1000
4.5,1000,3500
3.25,1000,-1000
2.5,1000,-1000
11,1000,10000
3.25,1000,-1000
5,1000,-1000
4.33,1000,3330
4,1000,-1000
4.5,1000,3500
2.25,1000,-1000
4,1000,-1000
3.25,1000,2250
3.5,1000,-1000
3,1000,-1000
4,1000,3000
3,1000,2000
5,1000,-1000
3.75,1000,-1000
3.75,1000,2750
2.5,1000,-1000
2.1,1000,1100
5.5,1000,-1000
5.5,1000,-1000
3.25,1000,2250
4,1000,-1000
3.25,1000,2250
2.5,1000,1500
3.5,1000,-1000
2,1000,-1000
2.1,1000,-1000
3.5,1000,2500
4,1000,-1000
3.25,1000,2250
2.75,1000,-1000
6,1000,5000
3.75,1000,2750
3.75,1000,-1000
4,1000,-1000
6,1000,-1000
5.5,1000,-1000
3.25,1000,2250
6.5,1000,-1000
6,1000,-1000
3.5,1000,-1000
5,1000,-1000
3.5,1000,2500
3.25,1000,-1000
3.5,1000,2500
2.5,1000,-1000
5.5,1000,4500
5.5,1000,4500
4,1000,-1000
3.25,1000,2250
1.8,1000,800
12,1000,11000
3.75,1000,-1000
2.88,1000,1880
7,1000,-1000
6,1000,-1000
6,1000,-1000
4.33,1000,-1000
4.5,1000,-1000
3.5,1000,2500
5.5,1000,-1000
2.88,1000,-1000
3,1000,-1000
2.38,1000,1380
4,1000,-1000
2.88,1000,-1000
2.5,1000,-1000
2.38,1000,-1000
5,1000,-1000
4,1000,-1000
4,1000,-1000
2.1,1000,1100
4,1000,-1000
13,1000,-1000
2.38,1000,1380
3,1000,-1000
2.88,1000,1880
4.5,1000,-1000
3.5,1000,2500
4,1000,-1000
3,1000,2000
3,1000,2000
2.38,1000,1380
4,1000,-1000
4,1000,-1000
3.5,1000,-1000
2.38,1000,-1000
2.5,1000,-1000
3,1000,-1000
4,1000,-1000
3.25,1000,2250
3.5,1000,-1000
3.5,1000,2500
4,1000,-1000
4,1000,3000
1.91,1000,910
3.75,1000,-1000
1.83,1000,-1000
2.63,1000,-1000
2.62,1000,1620
2.38,1000,-1000
9,1000,-1000
5,1000,-1000
3.75,1000,-1000
2,1000,1000
3,1000,-1000
4,1000,3000
3.5,1000,2500
5,1000,-1000
4.5,1000,-1000
2.88,1000,1880
4.5,1000,-1000
3.25,1000,-1000
3.25,1000,2250
3.75,1000,2750
3.75,1000,-1000
2.62,1000,-1000
2.5,1000,1500
3.75,1000,-1000
3.75,1000,2750
4.5,1000,-1000
3.75,1000,-1000
3.25,1000,-1000
3,1000,-1000
3,1000,2000
2.62,1000,1620
3.25,1000,-1000
3.5,1000,2500
5.5,1000,4500
3,1000,-1000
4,1000,-1000
3.5,1000,2500
3.75,1000,-1000
4,1000,-1000
2.1,1000,-1000
2.75,1000,1750
3.5,1000,-1000
2.88,1000,1880
3.75,1000,-1000
2.38,1000,1380
1.91,1000,910
3.5,1000,2500
3.5,1000,-1000
3,1000,-1000
4,1000,-1000
4,1000,-1000
5,1000,-1000
3,1000,-1000
4,1000,-1000
2,1000,-1000
3,1000,-1000
4.5,1000,-1000
1.91,1000,910
2.25,1000,1250
2.1,1000,1100
2.75,1000,1750
3,1000,-1000
3,1000,2000
2.25,1000,-1000
3,1000,-1000
5,1000,-1000
2.2,1000,-1000
3.5,1000,-1000
3,1000,2000
3.25,1000,-1000
3.5,1000,2500
3.5,1000,2500
7.5,1000,-1000
5.5,1000,4500
3,1000,-1000
3.75,1000,2750
2.62,1000,-1000
3.5,1000,-1000
5,1000,4000
5.5,1000,-1000
3.25,1000,-1000
1.73,1000,730
3,1000,2000
5.5,1000,-1000
3.5,1000,2500
3.75,1000,-1000
3.75,1000,-1000
5,1000,4000
4,1000,-1000
3.5,1000,-1000
3,1000,2000
4.5,1000,-1000
4.5,1000,-1000
5,1000,-1000
4,1000,3000
2.75,1000,-1000
2.5,1000,-1000
3.25,1000,-1000
2.5,1000,-1000
3.25,1000,-1000
2.38,1000,-1000
3.25,1000,-1000
2.62,1000,1620
5,1000,-1000
3.5,1000,-1000
3.25,1000,-1000
2.88,1000,1880
2,1000,1000
3.5,1000,-1000
3,1000,-1000
2.5,1000,-1000
7,1000,6000
6,1000,-1000
2.75,1000,1750
2.25,1000,1250
3.25,1000,-1000
10,1000,9000
8,1000,-1000
2.62,1000,1620
3,1000,-1000
2.62,1000,1620
4.5,1000,-1000
2.1,1000,-1000
3.75,1000,-1000
3.75,1000,-1000
7,1000,-1000
2.38,1000,-1000
2.38,1000,1380
3.75,1000,2750
3.25,1000,-1000
6.5,1000,5500
3.5,1000,2500
2.62,1000,-1000
3.75,1000,-1000
2.88,1000,-1000
2.25,1000,-1000
10,1000,-1000
4.5,1000,-1000
2.75,1000,1750
3.5,1000,-1000
9,1000,-1000
3.25,1000,-1000
2.5,1000,1500
6,1000,5000
2.5,1000,-1000
3.5,1000,-1000
3.75,1000,-1000
2.38,1000,-1000
5,1000,-1000
3.75,1000,-1000
2.5,1000,-1000
2.88,1000,-1000
2.25,1000,-1000
3.5,1000,-1000
5.5,1000,-1000
4.5,1000,-1000
4,1000,-1000
11,1000,-1000
2.38,1000,1380
5,1000,-1000
2.75,1000,-1000
3.25,1000,-1000
2.62,1000,1620
2.63,1000,-1000
4,1000,-1000
2.75,1000,-1000
3.25,1000,-1000
3,1000,2000
9,1000,-1000
3,1000,-1000
3.5,1000,2500
4,1000,3000
1.83,1000,-1000
2.62,1000,1620
4,1000,3000
3,1000,2000
2.2,1000,1200
3.5,1000,-1000
2.62,1000,-1000
3,1000,2000
2.1,1000,-1000
3.75,1000,-1000
5,1000,-1000
7.5,1000,-1000
6.5,1000,-1000
2.1,1000,1100
3,1000,-1000
2.75,1000,-1000
3.25,1000,-1000
3.5,1000,2500
2.25,1000,1250
2.38,1000,-1000
3,1000,-1000
3.25,1000,-1000
2.38,1000,1380
3.5,1000,-1000
5,1000,-1000
3.25,1000,-1000
3.5,1000,-1000
3.25,1000,2250
3.5,1000,-1000
3.5,1000,-1000
2.62,1000,-1000
2.37,1000,1370
4.5,1000,-1000
4,1000,-1000
3.5,1000,-1000
2.25,1000,-1000
5,1000,-1000
4.5,1000,-1000
3.5,1000,-1000
2.88,1000,-1000
2.88,1000,-1000
3.25,1000,2250
4.5,1000,-1000
4,1000,-1000
4.33,1000,-1000
2,1000,-1000
2.62,1000,-1000
17,1000,-1000
6,1000,-1000
5,1000,-1000
2.75,1000,-1000
3.5,1000,-1000
3.25,1000,-1000
1.4,1000,400
2.1,1000,1100
4,1000,3000
3.75,1000,-1000
1.83,1000,-1000
3.75,1000,-1000
10,1000,-1000
17,1000,-1000
6,1000,-1000
8,1000,-1000
2,1000,1000
1.9,1000,900
9,1000,-1000
21,1000,20000
1.73,1000,730
7.5,1000,6500
3,1000,-1000
8.5,1000,-1000
4.33,1000,-1000
4,1000,3000
15,1000,-1000
5.5,1000,-1000
3.25,1000,-1000
5,1000,4000
3,1000,-1000
3.75,1000,-1000
3.25,1000,-1000
2.75,1000,-1000
2.3,1000,1300
2.75,1000,1750
4,1000,-1000
2.88,1000,1880
2.75,1000,-1000
4,1000,-1000
3,1000,2000
2.62,1000,-1000
3.25,1000,-1000
3.5,1000,-1000
4,1000,-1000
2.88,1000,-1000
2.25,1000,1250
3.5,1000,-1000
4,1000,-1000
2.38,1000,-1000
3,1000,-1000
2.25,1000,-1000
5,1000,-1000
3.5,1000,2500
1.91,1000,-1000
2.2,1000,1200
2,1000,1000
2.1,1000,-1000
6,1000,-1000
3.5,1000,-1000
2.5,1000,-1000
4,1000,-1000
3.25,1000,-1000
3,1000,-1000
4,1000,-1000
3.75,1000,-1000
6.5,1000,5500
5,1000,-1000
2.62,1000,1620
2,1000,-1000
5.5,1000,-1000
9,1000,8000
5.5,1000,-1000
8,1000,-1000
3,1000,2000
2.38,1000,-1000
3.75,1000,-1000
4,1000,-1000
4,1000,-1000
3.75,1000,-1000
2,1000,-1000
2.38,1000,-1000
5.5,1000,-1000
3.75,1000,2750
4,1000,-1000
3,1000,-1000
3,1000,2000
3.25,1000,-1000
6,1000,-1000
1.91,1000,-1000
21,1000,20000
17,1000,-1000
4,1000,3000
7.5,1000,-1000
8,1000,-1000
6,1000,-1000
5.5,1000,4500
9,1000,-1000
2.5,1000,-1000
4.33,1000,3330
3,1000,2000
