ID,Odds,Bet,Result,Profit 
1,8,$10.00 ,Lose,-10.00
2,4.5,$20.00 ,Lose,-20.00
3,7,$40.00 ,Lose,-40.00
4,5,$80.00 ,Lose,-80.00
5,4.33,$160.00 ,Win,532.80
6,6,$10.00 ,Lose,-10.00
7,6,$20.00 ,Lose,-20.00
8,6,$40.00 ,Lose,-40.00
9,5.5,$80.00 ,Lose,-80.00
10,2,$160.00 ,Lose,-160.00
11,10,$320.00 ,Lose,-320.00
12,8,$640.00 ,Lose,-640.00
13,6,"$1,280.00 ",Lose,"-1,280.00"
14,6,"$2,560.00 ",Lose,"-2,560.00"
15,3.25,"$5,120.00 ",Win,"11,520.00"
16,2.75,$10.00 ,Lose,-10.00
17,3.5,$20.00 ,Lose,-20.00
18,3.25,$40.00 ,Lose,-40.00
19,3.25,$80.00 ,Lose,-80.00
20,11,$160.00 ,Lose,-160.00
21,1.8,$320.00 ,Lose,-320.00
22,4,$640.00 ,Lose,-640.00
23,7.5,"$1,280.00 ",Lose,"-1,280.00"
24,4.5,"$2,560.00 ",Win,"8,960.00"
25,3.25,$10.00 ,Lose,-10.00
26,8,$20.00 ,Lose,-20.00
27,2.5,$40.00 ,Lose,-40.00
28,11,$80.00 ,Win,800.00
29,11,$10.00 ,Win,100.00
30,3.25,$10.00 ,Lose,-10.00
31,5,$20.00 ,Lose,-20.00
32,4.33,$40.00 ,Win,133.20
33,21.1,$10.00 ,Lose,-10.00
34,9,$20.00 ,Win,160.00
35,8,$10.00 ,Lose,-10.00
36,4,$20.00 ,Lose,-20.00
37,11,$40.00 ,Win,400.00
38,4.5,$10.00 ,Win,35.00
39,9,$10.00 ,Win,80.00
40,8,$10.00 ,Lose,-10.00
41,9,$20.00 ,Lose,-20.00
42,8,$40.00 ,Lose,-40.00
43,2.25,$80.00 ,Lose,-80.00
44,6,$160.00 ,Win,800.00
45,4,$10.00 ,Lose,-10.00
46,11,$20.00 ,Lose,-20.00
47,3.25,$40.00 ,Win,90.00
48,3.5,$10.00 ,Lose,-10.00
49,3,$20.00 ,Lose,-20.00
50,7,$40.00 ,Lose,-40.00
51,9,$80.00 ,Win,640.00
52,4,$10.00 ,Win,30.00
53,3,$10.00 ,Win,20.00
54,5,$10.00 ,Lose,-10.00
55,3.75,$20.00 ,Lose,-20.00
56,7,$40.00 ,Lose,-40.00
57,3.75,$80.00 ,Win,220.00
58,2.5,$10.00 ,Lose,-10.00
59,2.1,$20.00 ,Win,22.00
60,6,$10.00 ,Lose,-10.00
61,20,$20.00 ,Lose,-20.00
62,5.5,$40.00 ,Lose,-40.00
63,5.5,$80.00 ,Lose,-80.00
64,3.25,$160.00 ,Win,360.00
65,4,$10.00 ,Lose,-10.00
66,15.1,$20.00 ,Win,282.00
67,15,$10.00 ,Lose,-10.00
68,3.25,$20.00 ,Win,45.00
69,8,$10.00 ,Win,70.00
70,10,$10.00 ,Win,90.00
71,2.5,$10.00 ,Win,15.00
72,13,$10.00 ,Lose,-10.00
73,3.5,$20.00 ,Lose,-20.00
74,2,$40.00 ,Lose,-40.00
75,2.1,$80.00 ,Lose,-80.00
76,13,$160.00 ,Win,"1,920.00"
77,3.5,$10.00 ,Win,25.00
78,4,$10.00 ,Lose,-10.00
79,3.25,$20.00 ,Win,45.00
80,9,$10.00 ,Lose,-10.00
81,7,$20.00 ,Lose,-20.00
82,10,$40.00 ,Win,360.00
83,2.75,$10.00 ,Lose,-10.00
84,6,$20.00 ,Win,100.00
85,3.75,$10.00 ,Win,27.50
86,3.75,$10.00 ,Lose,-10.00
87,8,$20.00 ,Win,140.00
88,10,$10.00 ,Win,90.00
89,4,$10.00 ,Lose,-10.00
90,6,$20.00 ,Lose,-20.00
