Odds,Result,Profit
8,Lose,-1000
4.5,Lose,-1000
7,Lose,-1000
5,Lose,-1000
4.3,Win,3330
6,Lose,-1000
6,Lose,-1000
6,Lose,-1000
5.5,Lose,-1000
2,Lose,-1000
10,Lose,-1000
8,Lose,-1000
6,Lose,-1000
6,Lose,-1000
3.3,Win,2250
2.8,Lose,-1000
3.5,Lose,-1000
3.3,Lose,-1000
3.3,Lose,-1000
11,Lose,-1000
1.8,Lose,-1000
4,Lose,-1000
7.5,Lose,-1000
4.5,Win,3500
3.3,Lose,-1000
8,Lose,-1000
2.5,Lose,-1000
11,Win,10000
11,Win,10000
3.3,Lose,-1000
5,Lose,-1000
4.3,Win,3330
21.1,Lose,-1000
9,Win,8000
8,Lose,-1000
4,Lose,-1000
11,Win,10000
4.5,Win,3500
9,Win,8000
8,Lose,-1000
9,Lose,-1000
8,Lose,-1000
2.3,Lose,-1000
6,Win,5000
4,Lose,-1000
11,Lose,-1000
3.3,Win,2250
3.5,Lose,-1000
3,Lose,-1000
7,Lose,-1000
9,Win,8000
4,Win,3000
3,Win,2000
5,Lose,-1000
3.8,Lose,-1000
7,Lose,-1000
3.8,Win,2750
2.5,Lose,-1000
2.1,Win,1100
6,Lose,-1000
20,Lose,-1000
5.5,Lose,-1000
5.5,Lose,-1000
3.3,Win,2250
4,Lose,-1000
15.1,Win,14100
15,Lose,-1000
3.3,Win,2250
8,Win,7000
10,Win,9000
2.5,Win,1500
13,Lose,-1000
3.5,Lose,-1000
2,Lose,-1000
2.1,Lose,-1000
13,Win,12000
3.5,Win,2500
4,Lose,-1000
3.3,Win,2250
9,Lose,-1000
7,Lose,-1000
10,Win,9000
2.8,Lose,-1000
6,Win,5000
3.8,Win,2750
3.8,Lose,-1000
8,Win,7000
10,Win,9000
4,Lose,-1000
6,Lose,-1000
5.5,Lose,-1000
3.3,Win,2250
6.5,Lose,-1000
6,Lose,-1000
11,Win,10000
3.5,Lose,-1000
5,Lose,-1000
13,Lose,-1000
