,Name,Count
68,Mike Smith,17
37,Joel Rosario,13
42,John Velazquez,12
75,Robby Albarado,9
5,Calvin Borel,9
31,Javier Castellano,8
81,Victor Espinoza,7
54,Kent Desormeaux,7
17,Edgar Prado,6
49,Julien Leparoux,6
72,Ramon Dominguez,5
40,John R. Velazquez,4
32,Jeremy Rose,4
66,Martin Garcia,4
62,Mario Gutierrez,4
24,Garrett Gomez,4
70,Rafael Bejarano,4
71,Rajiv Maragh,4
27,Irad Ortiz Jr.,4
0,Alan Garcia,4
35,Jesus Castanon,3
25,Gary Stevens,3
45,Jose Ortiz,3
18,Eibar Coa,3
76,Rosie Napravnik,3
3,Bob Baffert,3
84,Yutaka Take,2
11,Corey Nakatani,2
10,Corey Lanerie,2
64,Mark Casse,2
44,Jose Lezcano,2
1,Alex Solis,2
7,Channing Hill,2
73,Ricardo Santana Jr.,2
36,Joe Bravo,2
4,Brad Cox,2
58,Luis Contreras,2
82,William I. Mott,2
19,Fernando Jara,2
9,Corey J. Lanerie,1
59,Luis S. Quinonez,1
83,Willie Martinez,1
60,Luis Saez,1
61,Mario G. Pino,1
63,Mario Pino,1
65,Mark Guidry,1
74,Richard Migliore,1
77,Shaun Bridgmohan,1
2,Bill Mott,1
80,Todd Pletcher,1
8,Claude R. McGaughey III,1
79,T C Baze,1
69,N. Arroyo Jr.,1
78,Steve Asmussen,1
6,Chad Brown,1
57,Koichi Tsunoda,1
67,Miguel Mena,1
20,Flavien Prat,1
56,Kevin Krigger,1
38,Joel Rosario	,1
22,Gabriel Saez,1
23,Garret Gomez,1
26,Gregg Sacco,1
28,"Irad Ortiz, Jr.",1
29,J Rose,1
30,Jamie Theriot,1
16,E. T. Baird,1
15,Danny Gargan,1
33,Jerry Bailey,1
34,Jerry Hollendorfer,1
14,Dale Romans,1
39,John Alvarado,1
55,Kent J. Desormeaux,1
13,Cory Nakatani,1
41,John R.Â Velazquez,1
43,Jose L. Ortiz,1
46,Jose Valdivia Jr.,1
47,Juan Leyva,1
48,Julian Leparoux,1
12,Cornelio Velasquez,1
50,Julien R. Leparoux,1
51,Junior Alvarado,1
21,Florent Geroux,1
53,Ken Desormeaux,1
52,Keith Desormeaux,1
