Tipster,Bet Type,Odds,Result,Bankroll,2%,5%,7%,10%,15%,Multi%
Tipster A,Win,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,4.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,7.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,5.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,4.33,1,1000,86.6,216.5,303.1,433.0,649.5,216.5
Tipster A,Win,6.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,6.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,6.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,5.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,2.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-80.0
Tipster A,Each Way,10.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-20.0
Tipster A,Win,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,6.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,6.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,3.25,1,1000,65.0,162.5,227.5,325.0,487.5,162.5
Tipster A,Win,2.75,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,3.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,3.25,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,3.25,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,11.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-20.0
Tipster A,Win,1.8,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-80.0
Tipster A,Win,4.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,7.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,4.5,1,1000,90.0,225.0,315.0,450.0,675.0,225.0
Tipster A,Win,3.25,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,2.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,11.0,1,1000,220.0,550.0,770.0,1100.0,1650.0,220.0
Tipster A,Each Way,11.0,1,1000,220.0,550.0,770.0,1100.0,1650.0,220.0
Tipster A,Win,3.25,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,5.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,4.33,1,1000,86.6,216.5,303.1,433.0,649.5,216.5
Tipster A,Each Way,21.1,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-20.0
Tipster A,Each Way,9.0,1,1000,180.0,450.0,630.0,900.0,1350.0,450.0
Tipster A,Each Way,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,4.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,11.0,1,1000,220.0,550.0,770.0,1100.0,1650.0,220.0
Tipster A,Win,4.5,1,1000,90.0,225.0,315.0,450.0,675.0,225.0
Tipster A,Each Way,9.0,1,1000,180.0,450.0,630.0,900.0,1350.0,450.0
Tipster A,Each Way,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,9.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,8.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,2.25,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,6.0,1,1000,120.0,300.0,420.0,600.0,900.0,300.0
Tipster A,Win,4.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,11.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-20.0
Tipster A,Win,3.25,1,1000,65.0,162.5,227.5,325.0,487.5,162.5
Tipster A,Win,3.5,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Win,3.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,7.0,0,1000,-20.0,-50.0,-70.0,-100.0,-150.0,-50.0
Tipster A,Each Way,9.0,1,1000,180.0,450.0,630.0,900.0,1350.0,450.0
Tipster A,Win,4.0,1,1000,80.0,200.0,280.0,400.0,600.0,200.0
Tipster A,Win,3.0,1,1000,60.0,150.0,210.0,300.0,450.0,150.0
